year,week,departament_name,departament_id,province,trends_dengue,prec_2weeks,temp_2weeks_avg,humd_2weeks_avg,target_cases,sup_km2,total_pobl
2018,15,Tres de Febrero,53,Buenos Aires,89.0,51.37,20.36,76.0,1,45.0,364176
2018,15,COMUNA 15,15,CABA,56.0,51.37,20.36,76.0,1,14.3,196876
2018,15,COMUNA 3,3,CABA,56.0,51.37,20.36,76.0,2,6.4,196240
2018,15,COMUNA 4,4,CABA,56.0,51.37,20.36,76.0,6,22.7,229240
2018,15,COMUNA 8,8,CABA,56.0,51.37,20.36,76.0,1,22.5,204367
2018,16,Almirante Brown,16,Buenos Aires,87.0,60.53,19.48,78.77,1,129.0,584827
2018,16,Avellaneda,17,Buenos Aires,87.0,57.65,21.02,77.16,6,56.0,367554
2018,16,La Matanza,35,Buenos Aires,87.0,61.27,19.58,77.57,4,327.0,1841247
2018,16,Lanús,36,Buenos Aires,87.0,57.65,21.02,77.16,1,50.0,461267
2018,16,COMUNA 1,1,CABA,76.0,61.27,19.58,77.57,1,17.9,223554
2018,16,COMUNA 10,10,CABA,76.0,61.27,19.58,77.57,1,12.6,173004
2018,16,COMUNA 15,15,CABA,76.0,61.27,19.58,77.57,1,14.3,196876
2018,16,COMUNA 3,3,CABA,76.0,61.27,19.58,77.57,3,6.4,196240
2018,16,COMUNA 4,4,CABA,76.0,61.27,19.58,77.57,12,22.7,229240
2018,17,Avellaneda,17,Buenos Aires,57.0,31.5,21.48,79.88,5,56.0,367554
2018,17,LOMAS DE ZAMORA,38,Buenos Aires,57.0,31.5,21.48,79.88,2,89.0,690480
2018,17,La Matanza,35,Buenos Aires,57.0,34.56,20.52,79.66,7,327.0,1841247
2018,17,Quilmes,47,Buenos Aires,57.0,36.63,20.3,81.45,1,92.0,633391
2018,17,Tres de Febrero,53,Buenos Aires,57.0,34.56,20.52,79.66,1,45.0,364176
2018,17,COMUNA 1,1,CABA,46.0,34.56,20.52,79.66,1,17.9,223554
2018,17,COMUNA 12,12,CABA,46.0,34.56,20.52,79.66,1,15.7,236887
2018,17,COMUNA 15,15,CABA,46.0,34.56,20.52,79.66,1,14.3,196876
2018,17,COMUNA 3,3,CABA,46.0,34.56,20.52,79.66,1,6.4,196240
2018,17,COMUNA 4,4,CABA,46.0,34.56,20.52,79.66,9,22.7,229240
2018,17,COMUNA 7,7,CABA,46.0,34.56,20.52,79.66,1,12.4,215896
2018,18,Almirante Brown,16,Buenos Aires,61.0,120.66,20.73,87.03,1,129.0,584827
2018,18,Avellaneda,17,Buenos Aires,61.0,118.01,22.12,85.38,6,56.0,367554
2018,18,Ezeiza,27,Buenos Aires,61.0,122.21,20.4,86.88,1,238.0,201511
2018,18,LOMAS DE ZAMORA,38,Buenos Aires,61.0,118.01,22.12,85.38,1,89.0,690480
2018,18,La Matanza,35,Buenos Aires,61.0,130.25,21.38,85.55,8,327.0,1841247
2018,18,Morón,44,Buenos Aires,61.0,130.25,21.38,85.55,2,55.0,331183
2018,18,Quilmes,47,Buenos Aires,61.0,120.66,20.73,87.03,3,92.0,633391
2018,18,San Miguel,50,Buenos Aires,61.0,130.25,21.38,85.55,1,83.0,328835
2018,18,Tres de Febrero,53,Buenos Aires,61.0,130.25,21.38,85.55,3,45.0,364176
2018,18,COMUNA 1,1,CABA,36.0,130.25,21.38,85.55,1,17.9,223554
2018,18,COMUNA 10,10,CABA,36.0,130.25,21.38,85.55,2,12.6,173004
2018,18,COMUNA 15,15,CABA,36.0,130.25,21.38,85.55,1,14.3,196876
2018,18,COMUNA 2,2,CABA,36.0,130.25,21.38,85.55,1,6.3,161645
2018,18,COMUNA 3,3,CABA,36.0,130.25,21.38,85.55,1,6.4,196240
2018,18,COMUNA 4,4,CABA,36.0,130.25,21.38,85.55,16,22.7,229240
2018,18,COMUNA 7,7,CABA,36.0,130.25,21.38,85.55,2,12.4,215896
2018,18,COMUNA 8,8,CABA,36.0,130.25,21.38,85.55,4,22.5,204367
2018,18,COMUNA 9,9,CABA,36.0,130.25,21.38,85.55,2,16.6,169063
2018,19,Almirante Brown,16,Buenos Aires,56.0,112.6,18.38,87.77,1,129.0,584827
2018,19,Avellaneda,17,Buenos Aires,56.0,125.87,20.41,84.83,4,56.0,367554
2018,19,Berazategui,18,Buenos Aires,56.0,112.6,18.38,87.77,1,220.0,358712
2018,19,Esteban Echeverría,25,Buenos Aires,56.0,111.29,17.84,88.1,1,121.0,338480
2018,19,Ezeiza,27,Buenos Aires,56.0,111.29,17.84,88.1,1,238.0,201511
2018,19,Florencio Varela,28,Buenos Aires,56.0,112.6,18.38,87.77,1,190.0,496433
2018,19,José C. Paz,34,Buenos Aires,56.0,134.7,18.92,87.91,1,50.0,326992
2018,19,La Matanza,35,Buenos Aires,56.0,134.7,18.92,87.91,2,327.0,1841247
2018,19,Quilmes,47,Buenos Aires,56.0,112.6,18.38,87.77,3,92.0,633391
2018,19,Tres de Febrero,53,Buenos Aires,56.0,134.7,18.92,87.91,2,45.0,364176
2018,19,COMUNA 12,12,CABA,43.0,134.7,18.92,87.91,1,15.7,236887
2018,19,COMUNA 4,4,CABA,43.0,134.7,18.92,87.91,4,22.7,229240
2018,19,COMUNA 6,6,CABA,43.0,134.7,18.92,87.91,1,6.9,203043
2018,19,COMUNA 8,8,CABA,43.0,134.7,18.92,87.91,1,22.5,204367
2018,20,Avellaneda,17,Buenos Aires,44.0,142.77,19.04,83.21,1,56.0,367554
2018,20,Quilmes,47,Buenos Aires,44.0,128.27,16.88,87.88,2,92.0,633391
2018,20,Tigre,52,Buenos Aires,44.0,129.28,17.32,87.62,1,394.0,446949
2018,20,Tres de Febrero,53,Buenos Aires,44.0,129.28,17.32,87.62,1,45.0,364176
2018,21,Berazategui,18,Buenos Aires,41.0,117.4,14.57,86.06,1,220.0,358712
2018,21,La Matanza,35,Buenos Aires,41.0,110.91,14.75,85.82,2,327.0,1841247
2018,21,Quilmes,47,Buenos Aires,41.0,117.4,14.57,86.06,2,92.0,633391
2018,21,COMUNA 4,4,CABA,20.0,110.91,14.75,85.82,2,22.7,229240
2018,23,COMUNA 5,5,CABA,16.0,46.87,12.04,85.53,1,6.7,194271
2018,24,COMUNA 4,4,CABA,0.0,48.64,11.02,86.01,1,22.7,229240
2018,38,COMUNA 14,14,CABA,0.0,24.03,14.54,82.1,1,15.9,248635
2018,40,Escobar,24,Buenos Aires,15.0,96.65,17.4,80.22,1,301.0,256268
2018,40,Tigre,52,Buenos Aires,15.0,96.65,17.4,80.22,1,394.0,446949
2018,41,Florencio Varela,28,Buenos Aires,23.0,76.19,14.84,76.78,1,190.0,496433
2018,52,Vicente López,54,Buenos Aires,33.0,189.0,21.59,75.16,1,35.0,282280
2019,3,COMUNA 5,5,CABA,38.0,91.11,23.26,76.15,1,6.7,194271
2019,6,Zárate,55,Buenos Aires,44.0,62.06,25.59,79.98,1,1185.0,132221
2019,7,Berazategui,18,Buenos Aires,30.0,39.7,25.05,69.97,1,220.0,358712
2019,7,COMUNA 1,1,CABA,28.0,39.6,24.89,72.88,2,17.9,223554
2019,8,COMUNA 14,14,CABA,65.0,29.85,22.63,69.13,1,15.9,248635
2019,9,Florencio Varela,28,Buenos Aires,33.0,70.07,23.84,67.75,3,190.0,496433
2019,9,Ituzaingó,33,Buenos Aires,33.0,61.45,23.73,68.52,3,38.0,180232
2019,9,Tigre,52,Buenos Aires,33.0,61.45,23.73,68.52,1,394.0,446949
2019,9,COMUNA 10,10,CABA,31.0,61.45,23.73,68.52,1,12.6,173004
2019,11,Ituzaingó,33,Buenos Aires,42.0,73.6,20.02,70.06,2,38.0,180232
2019,11,COMUNA 14,14,CABA,23.0,73.6,20.02,70.06,1,15.9,248635
2019,11,COMUNA 9,9,CABA,23.0,73.6,20.02,70.06,1,16.6,169063
2019,12,Ituzaingó,33,Buenos Aires,32.0,103.58,20.68,80.18,4,38.0,180232
2019,12,Malvinas Argentinas,41,Buenos Aires,32.0,103.58,20.68,80.18,1,63.0,350674
2019,12,Morón,44,Buenos Aires,32.0,103.58,20.68,80.18,1,55.0,331183
2019,12,COMUNA 14,14,CABA,44.0,103.58,20.68,80.18,1,15.9,248635
2019,13,Ituzaingó,33,Buenos Aires,40.0,36.64,18.86,76.81,8,38.0,180232
2019,13,COMUNA 3,3,CABA,43.0,36.64,18.86,76.81,1,6.4,196240
2019,13,COMUNA 9,9,CABA,43.0,36.64,18.86,76.81,1,16.6,169063
2019,14,Ituzaingó,33,Buenos Aires,39.0,4.11,18.13,73.31,4,38.0,180232
2019,14,COMUNA 10,10,CABA,32.0,4.11,18.13,73.31,1,12.6,173004
2019,14,COMUNA 9,9,CABA,32.0,4.11,18.13,73.31,1,16.6,169063
2019,15,Ituzaingó,33,Buenos Aires,40.0,8.32,19.07,73.77,2,38.0,180232
2019,15,La Plata,37,Buenos Aires,40.0,10.92,19.02,74.06,1,893.0,768547
2019,15,San Miguel,50,Buenos Aires,40.0,8.32,19.07,73.77,1,83.0,328835
2019,15,COMUNA 10,10,CABA,29.0,8.32,19.07,73.77,1,12.6,173004
2019,15,COMUNA 14,14,CABA,29.0,8.32,19.07,73.77,1,15.9,248635
2019,15,COMUNA 15,15,CABA,29.0,8.32,19.07,73.77,1,14.3,196876
2019,15,COMUNA 9,9,CABA,29.0,8.32,19.07,73.77,1,16.6,169063
2019,16,Florencio Varela,28,Buenos Aires,41.0,16.67,18.81,72.43,2,190.0,496433
2019,16,Ituzaingó,33,Buenos Aires,41.0,14.37,18.73,71.19,3,38.0,180232
2019,16,Morón,44,Buenos Aires,41.0,14.37,18.73,71.19,3,55.0,331183
2019,16,COMUNA 9,9,CABA,38.0,14.37,18.73,71.19,1,16.6,169063
2019,17,Ituzaingó,33,Buenos Aires,47.0,9.16,17.73,72.11,2,38.0,180232
2019,17,Morón,44,Buenos Aires,47.0,9.16,17.73,72.11,1,55.0,331183
2019,17,COMUNA 9,9,CABA,31.0,9.16,17.73,72.11,3,16.6,169063
2019,18,Florencio Varela,28,Buenos Aires,34.0,21.37,16.61,78.51,1,190.0,496433
2019,18,Ituzaingó,33,Buenos Aires,34.0,18.72,16.8,76.92,2,38.0,180232
2019,19,Ituzaingó,33,Buenos Aires,42.0,37.03,16.2,78.0,2,38.0,180232
2019,19,La Plata,37,Buenos Aires,42.0,35.79,16.09,78.88,1,893.0,768547
2019,19,COMUNA 14,14,CABA,27.0,37.03,16.2,78.0,1,15.9,248635
2019,21,José C. Paz,34,Buenos Aires,31.0,38.29,14.27,82.9,1,50.0,326992
2019,21,COMUNA 9,9,CABA,25.0,38.29,14.27,82.9,1,16.6,169063
2019,23,Malvinas Argentinas,41,Buenos Aires,25.0,21.14,11.66,84.39,1,63.0,350674
2019,26,Exaltación de la Cruz,26,Buenos Aires,19.0,143.11,14.29,89.31,1,637.0,40159
2019,49,COMUNA 1,1,CABA,22.0,32.72,21.73,63.03,1,17.9,223554
2019,51,COMUNA 1,1,CABA,26.0,19.89,22.53,54.38,1,17.9,223554
2020,1,COMUNA 4,4,CABA,2.0,0.72,22.98,71.87,1,22.7,229240
2020,2,Quilmes,47,Buenos Aires,2.0,3.0,23.92,57.64,1,92.0,633391
2020,2,COMUNA 13,13,CABA,3.0,2.53,23.91,56.83,1,15.0,264385
2020,3,Esteban Echeverría,25,Buenos Aires,4.0,5.76,23.2,62.36,1,121.0,338480
2020,3,Lomas de Zamora,38,Buenos Aires,4.0,1.41,24.35,66.21,1,89.0,690480
2020,3,Moreno,42,Buenos Aires,4.0,3.25,23.45,64.35,2,186.0,576632
2020,3,COMUNA 1,1,CABA,6.0,3.25,23.45,64.35,1,17.9,223554
2020,3,COMUNA 3,3,CABA,6.0,3.25,23.45,64.35,1,6.4,196240
2020,3,COMUNA 4,4,CABA,6.0,3.25,23.45,64.35,2,22.7,229240
2020,4,Ezeiza,27,Buenos Aires,3.0,60.48,23.23,58.35,1,238.0,201511
2020,4,General San Martín,31,Buenos Aires,3.0,63.25,23.75,60.15,2,57.0,450518
2020,4,Lanús,36,Buenos Aires,3.0,57.71,24.55,62.73,1,50.0,461267
2020,4,Lomas de Zamora,38,Buenos Aires,3.0,57.71,24.55,62.73,1,89.0,690480
2020,4,Pilar,45,Buenos Aires,3.0,63.25,23.75,60.15,1,385.0,394754
2020,4,San Miguel,50,Buenos Aires,3.0,63.25,23.75,60.15,1,83.0,328835
2020,4,COMUNA 11,11,CABA,4.0,63.25,23.75,60.15,1,14.1,204601
2020,4,COMUNA 12,12,CABA,4.0,63.25,23.75,60.15,1,15.7,236887
2020,4,COMUNA 13,13,CABA,4.0,63.25,23.75,60.15,1,15.0,264385
2020,4,COMUNA 14,14,CABA,4.0,63.25,23.75,60.15,1,15.9,248635
2020,4,COMUNA 4,4,CABA,4.0,63.25,23.75,60.15,1,22.7,229240
2020,4,COMUNA 7,7,CABA,4.0,63.25,23.75,60.15,2,12.4,215896
2020,4,COMUNA 8,8,CABA,4.0,63.25,23.75,60.15,1,22.5,204367
2020,5,Almirante Brown,16,Buenos Aires,4.0,64.49,24.61,63.91,1,129.0,584827
2020,5,Avellaneda,17,Buenos Aires,4.0,70.69,25.36,67.52,1,56.0,367554
2020,5,General San Martín,31,Buenos Aires,4.0,75.82,24.89,66.09,2,57.0,450518
2020,5,La Matanza,35,Buenos Aires,4.0,75.82,24.89,66.09,3,327.0,1841247
2020,5,Lanús,36,Buenos Aires,4.0,70.69,25.36,67.52,1,50.0,461267
2020,5,Lomas de Zamora,38,Buenos Aires,4.0,70.69,25.36,67.52,1,89.0,690480
2020,5,Quilmes,47,Buenos Aires,4.0,64.49,24.61,63.91,1,92.0,633391
2020,5,Tres de Febrero,53,Buenos Aires,4.0,75.82,24.89,66.09,4,45.0,364176
2020,5,COMUNA 1,1,CABA,5.0,75.82,24.89,66.09,4,17.9,223554
2020,5,COMUNA 10,10,CABA,5.0,75.82,24.89,66.09,3,12.6,173004
2020,5,COMUNA 12,12,CABA,5.0,75.82,24.89,66.09,4,15.7,236887
2020,5,COMUNA 4,4,CABA,5.0,75.82,24.89,66.09,1,22.7,229240
2020,5,COMUNA 5,5,CABA,5.0,75.82,24.89,66.09,1,6.7,194271
2020,5,COMUNA 7,7,CABA,5.0,75.82,24.89,66.09,1,12.4,215896
2020,5,COMUNA 9,9,CABA,5.0,75.82,24.89,66.09,3,16.6,169063
2020,6,Esteban Echeverría,25,Buenos Aires,4.0,10.26,24.6,57.41,2,121.0,338480
2020,6,Hurlingham,32,Buenos Aires,4.0,17.57,24.54,60.83,1,36.0,185641
2020,6,Ituzaingó,33,Buenos Aires,4.0,17.57,24.54,60.83,1,38.0,180232
2020,6,La Matanza,35,Buenos Aires,4.0,17.57,24.54,60.83,3,327.0,1841247
2020,6,Lomas de Zamora,38,Buenos Aires,4.0,15.35,24.95,65.31,1,89.0,690480
2020,6,Moreno,42,Buenos Aires,4.0,17.57,24.54,60.83,3,186.0,576632
2020,6,Quilmes,47,Buenos Aires,4.0,9.35,24.56,59.7,4,92.0,633391
2020,6,San Miguel,50,Buenos Aires,4.0,17.57,24.54,60.83,1,83.0,328835
2020,6,Tres de Febrero,53,Buenos Aires,4.0,17.57,24.54,60.83,3,45.0,364176
2020,6,COMUNA 1,1,CABA,7.0,17.57,24.54,60.83,7,17.9,223554
2020,6,COMUNA 10,10,CABA,7.0,17.57,24.54,60.83,2,12.6,173004
2020,6,COMUNA 11,11,CABA,7.0,17.57,24.54,60.83,2,14.1,204601
2020,6,COMUNA 12,12,CABA,7.0,17.57,24.54,60.83,2,15.7,236887
2020,6,COMUNA 13,13,CABA,7.0,17.57,24.54,60.83,1,15.0,264385
2020,6,COMUNA 14,14,CABA,7.0,17.57,24.54,60.83,1,15.9,248635
2020,6,COMUNA 4,4,CABA,7.0,17.57,24.54,60.83,8,22.7,229240
2020,6,COMUNA 5,5,CABA,7.0,17.57,24.54,60.83,2,6.7,194271
2020,6,COMUNA 6,6,CABA,7.0,17.57,24.54,60.83,1,6.9,203043
2020,6,COMUNA 7,7,CABA,7.0,17.57,24.54,60.83,2,12.4,215896
2020,6,COMUNA 8,8,CABA,7.0,17.57,24.54,60.83,6,22.5,204367
2020,7,Almirante Brown,16,Buenos Aires,7.0,29.71,24.43,61.67,7,129.0,584827
2020,7,Avellaneda,17,Buenos Aires,7.0,23.5,24.98,66.8,5,56.0,367554
2020,7,Berazategui,18,Buenos Aires,7.0,29.71,24.43,61.67,3,220.0,358712
2020,7,Escobar,24,Buenos Aires,7.0,26.54,24.8,60.02,1,301.0,256268
2020,7,Esteban Echeverría,25,Buenos Aires,7.0,28.4,24.5,58.59,2,121.0,338480
2020,7,Florencio Varela,28,Buenos Aires,7.0,29.71,24.43,61.67,2,190.0,496433
2020,7,General San Martín,31,Buenos Aires,7.0,26.54,24.8,60.02,7,57.0,450518
2020,7,Ituzaingó,33,Buenos Aires,7.0,26.54,24.8,60.02,1,38.0,180232
2020,7,La Matanza,35,Buenos Aires,7.0,26.54,24.8,60.02,16,327.0,1841247
2020,7,La Plata,37,Buenos Aires,7.0,29.71,24.43,61.67,5,893.0,768547
2020,7,Lanús,36,Buenos Aires,7.0,23.5,24.98,66.8,3,50.0,461267
2020,7,Lomas de Zamora,38,Buenos Aires,7.0,23.5,24.98,66.8,2,89.0,690480
2020,7,Malvinas Argentinas,41,Buenos Aires,7.0,26.54,24.8,60.02,2,63.0,350674
2020,7,Merlo,43,Buenos Aires,7.0,26.54,24.8,60.02,1,174.0,582486
2020,7,Morón,44,Buenos Aires,7.0,26.54,24.8,60.02,1,55.0,331183
2020,7,Quilmes,47,Buenos Aires,7.0,29.71,24.43,61.67,7,92.0,633391
2020,7,San Isidro,49,Buenos Aires,7.0,26.54,24.8,60.02,1,52.0,297282
2020,7,Tigre,52,Buenos Aires,7.0,26.54,24.8,60.02,1,394.0,446949
2020,7,Tres de Febrero,53,Buenos Aires,7.0,26.54,24.8,60.02,6,45.0,364176
2020,7,Vicente López,54,Buenos Aires,7.0,26.54,24.8,60.02,3,35.0,282280
2020,7,COMUNA 1,1,CABA,11.0,26.54,24.8,60.02,8,17.9,223554
2020,7,COMUNA 10,10,CABA,11.0,26.54,24.8,60.02,6,12.6,173004
2020,7,COMUNA 11,11,CABA,11.0,26.54,24.8,60.02,3,14.1,204601
2020,7,COMUNA 12,12,CABA,11.0,26.54,24.8,60.02,3,15.7,236887
2020,7,COMUNA 15,15,CABA,11.0,26.54,24.8,60.02,3,14.3,196876
2020,7,COMUNA 2,2,CABA,11.0,26.54,24.8,60.02,1,6.3,161645
2020,7,COMUNA 3,3,CABA,11.0,26.54,24.8,60.02,1,6.4,196240
2020,7,COMUNA 4,4,CABA,11.0,26.54,24.8,60.02,13,22.7,229240
2020,7,COMUNA 5,5,CABA,11.0,26.54,24.8,60.02,2,6.7,194271
2020,7,COMUNA 6,6,CABA,11.0,26.54,24.8,60.02,1,6.9,203043
2020,7,COMUNA 7,7,CABA,11.0,26.54,24.8,60.02,20,12.4,215896
2020,7,COMUNA 8,8,CABA,11.0,26.54,24.8,60.02,5,22.5,204367
2020,7,COMUNA 9,9,CABA,11.0,26.54,24.8,60.02,4,16.6,169063
2020,8,Almirante Brown,16,Buenos Aires,21.0,32.87,25.02,65.72,1,129.0,584827
2020,8,Avellaneda,17,Buenos Aires,21.0,23.95,25.61,70.09,4,56.0,367554
2020,8,Berazategui,18,Buenos Aires,21.0,32.87,25.02,65.72,1,220.0,358712
2020,8,Cañuelas,22,Buenos Aires,21.0,30.72,25.19,63.17,1,1186.0,70684
2020,8,Escobar,24,Buenos Aires,21.0,26.09,25.62,63.89,1,301.0,256268
2020,8,Esteban Echeverría,25,Buenos Aires,21.0,30.72,25.19,63.17,5,121.0,338480
2020,8,Florencio Varela,28,Buenos Aires,21.0,32.87,25.02,65.72,3,190.0,496433
2020,8,General Rodríguez,30,Buenos Aires,21.0,26.09,25.62,63.89,1,367.0,142709
2020,8,General San Martín,31,Buenos Aires,21.0,26.09,25.62,63.89,4,57.0,450518
2020,8,Hurlingham,32,Buenos Aires,21.0,26.09,25.62,63.89,4,36.0,185641
2020,8,Ituzaingó,33,Buenos Aires,21.0,26.09,25.62,63.89,2,38.0,180232
2020,8,José C. Paz,34,Buenos Aires,21.0,26.09,25.62,63.89,2,50.0,326992
2020,8,La Matanza,35,Buenos Aires,21.0,26.09,25.62,63.89,35,327.0,1841247
2020,8,La Plata,37,Buenos Aires,21.0,32.87,25.02,65.72,6,893.0,768547
2020,8,Lanús,36,Buenos Aires,21.0,23.95,25.61,70.09,4,50.0,461267
2020,8,Lomas de Zamora,38,Buenos Aires,21.0,23.95,25.61,70.09,6,89.0,690480
2020,8,Malvinas Argentinas,41,Buenos Aires,21.0,26.09,25.62,63.89,2,63.0,350674
2020,8,Merlo,43,Buenos Aires,21.0,26.09,25.62,63.89,2,174.0,582486
2020,8,Moreno,42,Buenos Aires,21.0,26.09,25.62,63.89,11,186.0,576632
2020,8,Morón,44,Buenos Aires,21.0,26.09,25.62,63.89,2,55.0,331183
2020,8,Pilar,45,Buenos Aires,21.0,26.09,25.62,63.89,2,385.0,394754
2020,8,Quilmes,47,Buenos Aires,21.0,32.87,25.02,65.72,12,92.0,633391
2020,8,San Fernando,48,Buenos Aires,21.0,26.09,25.62,63.89,1,993.0,171616
2020,8,San Isidro,49,Buenos Aires,21.0,26.09,25.62,63.89,1,52.0,297282
2020,8,San Miguel,50,Buenos Aires,21.0,26.09,25.62,63.89,3,83.0,328835
2020,8,San Vicente,51,Buenos Aires,21.0,30.72,25.19,63.17,1,661.0,98215
2020,8,Tigre,52,Buenos Aires,21.0,26.09,25.62,63.89,4,394.0,446949
2020,8,Tres de Febrero,53,Buenos Aires,21.0,26.09,25.62,63.89,25,45.0,364176
2020,8,Vicente López,54,Buenos Aires,21.0,26.09,25.62,63.89,8,35.0,282280
2020,8,COMUNA 1,1,CABA,22.0,26.09,25.62,63.89,40,17.9,223554
2020,8,COMUNA 10,10,CABA,22.0,26.09,25.62,63.89,16,12.6,173004
2020,8,COMUNA 11,11,CABA,22.0,26.09,25.62,63.89,10,14.1,204601
